object_name	row_count
business.aicm_department_task_ledger	2
business.aicm_manager_major_work_item	0
business.aicm_task_file_metadata	0
business.aicm_task_ledger_csv_import_batch	0
business.aicm_task_ledger_csv_import_row	0
business.aicm_user_company_department_task_ledger	1
business.robot_pool_sync_ledger	27
business.task	0
business.vw_aicm_pmlw_deliverable_requirement_display	0
business.vw_aicm_pmlw_leader_middle_display	0
business.vw_aicm_pmlw_major_work_display	0
business.vw_aicm_pmlw_president_policy_display	0
business.vw_aicm_pmlw_worker_work_unit_display	0
business.vw_aicm_pmlw_workflow_tree	0
business.vw_aicm_user_company_department_task_ledger_display	1
(15 rows)
