function	cx22073jw	fn_create_ai_employee_manual_apply_receipt_batch	v_ai_employee_final_handoff_export_latest_items
function	cx22073jw	fn_create_ai_employee_manual_apply_receipt_batch	v_ai_employee_final_handoff_export_latest_summary
view	cx22073jw	v_access_activation_request_compiled_summary	v_ai_employee_activation_request_compiled_summary
view	cx22073jw	v_access_activation_request_intersection_summary	v_ai_employee_activation_request_intersection_summary
view	cx22073jw	v_access_activation_request_latest_decisions	v_ai_employee_activation_request_latest_decisions
view	cx22073jw	v_access_activation_request_latest_intersection_decisions	v_ai_employee_activation_request_latest_intersection_decisions
view	cx22073jw	v_access_activation_request_latest_summary	v_ai_employee_activation_request_latest_summary
view	cx22073jw	v_access_activation_review_decision_latest_batch_summary	v_ai_employee_activation_review_decision_latest_batch_summary
view	cx22073jw	v_access_activation_review_decision_latest_items	v_ai_employee_activation_review_decision_latest_items
view	cx22073jw	v_access_activation_review_export_latest_items	v_ai_employee_activation_review_export_latest_items
view	cx22073jw	v_access_activation_review_export_latest_summary	v_ai_employee_activation_review_export_latest_summary
view	cx22073jw	v_access_actual_view_family_summary	v_ai_employee_actual_view_family_summary
view	cx22073jw	v_access_actual_view_registry_summary	v_ai_employee_actual_view_registry_summary
view	cx22073jw	v_access_app_scope_summary	v_ai_employee_app_scope_summary
view	cx22073jw	v_access_db_role_provision_latest_batch_summary	v_ai_employee_db_role_provision_latest_batch_summary
view	cx22073jw	v_access_db_role_provision_latest_items	v_ai_employee_db_role_provision_latest_items
view	cx22073jw	v_access_db_role_registry_summary	v_ai_employee_db_role_registry_summary
view	cx22073jw	v_access_domain_bootstrap_summary	v_ai_employee_domain_bootstrap_summary
view	cx22073jw	v_access_final_handoff_export_latest_items	v_ai_employee_final_handoff_export_latest_items
view	cx22073jw	v_access_final_handoff_export_latest_summary	v_ai_employee_final_handoff_export_latest_summary
view	cx22073jw	v_access_gate_controlled_actual_views	v_ai_employee_gate_controlled_actual_views
view	cx22073jw	v_access_governed_apply_attempt_latest_summary	v_ai_employee_governed_apply_attempt_latest_summary
view	cx22073jw	v_access_governed_apply_batch_latest_items	v_ai_employee_governed_apply_batch_latest_items
view	cx22073jw	v_access_governed_apply_batch_latest_summary	v_ai_employee_governed_apply_batch_latest_summary
view	cx22073jw	v_access_governed_apply_execution_latest_items	v_ai_employee_governed_apply_execution_latest_items
view	cx22073jw	v_access_governed_apply_execution_latest_summary	v_ai_employee_governed_apply_execution_latest_summary
view	cx22073jw	v_access_governed_apply_queue_latest_items	v_ai_employee_governed_apply_queue_latest_items
view	cx22073jw	v_access_governed_apply_queue_latest_summary	v_ai_employee_governed_apply_queue_latest_summary
view	cx22073jw	v_access_grant_export_latest_items	v_ai_employee_grant_export_latest_items
view	cx22073jw	v_access_grant_export_latest_summary	v_ai_employee_grant_export_latest_summary
view	cx22073jw	v_access_human_review_latest_action_log	v_ai_employee_human_review_latest_action_log
view	cx22073jw	v_access_manual_apply_receipt_latest_batch_summary	v_ai_employee_manual_apply_receipt_latest_batch_summary
view	cx22073jw	v_access_manual_apply_receipt_latest_items	v_ai_employee_manual_apply_receipt_latest_items
view	cx22073jw	v_access_post_apply_verification_latest_items	v_ai_employee_post_apply_verification_latest_items
view	cx22073jw	v_access_post_apply_verification_latest_summary	v_ai_employee_post_apply_verification_latest_summary
view	cx22073jw	v_access_privileged_family_summary	v_ai_employee_privileged_family_summary
view	cx22073jw	v_access_rank_registry_summary	v_ai_employee_rank_registry_summary
view	cx22073jw	v_access_role_access_bundle_item_matrix	v_ai_employee_role_access_bundle_item_matrix
view	cx22073jw	v_access_role_access_bundle_summary	v_ai_employee_role_access_bundle_summary
view	cx22073jw	v_access_role_actual_view_grant_matrix	v_ai_employee_role_actual_view_grant_matrix
view	cx22073jw	v_access_role_policy_matrix	v_ai_employee_role_policy_matrix
view	cx22073jw	v_access_runtime_ready_promotion_latest_batch_summary	v_ai_employee_runtime_ready_promotion_latest_batch_summary
view	cx22073jw	v_access_runtime_ready_promotion_latest_items	v_ai_employee_runtime_ready_promotion_latest_items
view	cx22073jw	v_access_stub_smoke_latest_items	v_ai_employee_stub_smoke_latest_items
view	cx22073jw	v_access_stub_smoke_latest_summary	v_ai_employee_stub_smoke_latest_summary
view	cx22073jw	v_access_stub_view_generation_latest_items	v_ai_employee_stub_view_generation_latest_items
view	cx22073jw	v_access_stub_view_generation_latest_summary	v_ai_employee_stub_view_generation_latest_summary
view	cx22073jw	v_access_stub_view_missing	v_ai_employee_stub_view_missing
view	cx22073jw	v_access_stub_view_runtime_catalog	v_ai_employee_stub_view_runtime_catalog
